Fulfillment SKU,Image URL,Name,SKU,UPC,Weight Units,Product ID,Quantity,Shipping Amount,Tax Amount,Unit Price,Weight Value,Marketplace,shipstation_ordernumber_as_id,ordernumber_sku_as_id
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p3-90x180.jpg,Neutriherbs Charcoal Mask Black Head and Pore Remover,,,,,1,0,0,14.95,,WooCommerce,266,266-A-1000
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg,10 mL Empty Amber Bottle Set With Washers (4-Pack),,,,,2,0,0,9.95,,WooCommerce,261,261-A-1001
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg,10 mL Empty Amber Bottle Set With Washers (4-Pack),,,,,2,0,0,34.95,,WooCommerce,261,261-A-1002
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p1-180x180.jpg,Essential Oils Nebulizer Diffuser for Aromatherapy by Two Scents,,,,,2,0,0,70.27,,WooCommerce,261,261-A-1003
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p3-90x180.jpg,Neutriherbs Charcoal Mask Black Head and Pore Remover,,,,,1,0,0,14.95,,WooCommerce,261,261-A-1004
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg,10 mL Empty Amber Bottle Set With Washers (4-Pack),,,,,4,0,0,19.95,,WooCommerce,256,256-A-1005
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg,10 mL Empty Amber Bottle Set With Washers (4-Pack),,,,,1,0,0,9.95,,WooCommerce,256,256-A-1006
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p1-180x180.jpg,Essential Oils Nebulizer Diffuser for Aromatherapy by Two Scents,,,,,1,0,0,70.27,,WooCommerce,256,256-A-1007
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p3-90x180.jpg,Neutriherbs Charcoal Mask Black Head and Pore Remover,,,,,1,0,0,14.95,,WooCommerce,256,256-A-1008
,,Total Discount,total-discount,,,,1,0,0,-17.5,,WooCommerce,256,256-total-discount
,http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg,10 mL Empty Amber Bottle Set With Washers (4-Pack),,,,,1,0,0,9.95,,WooCommerce,255,255-A-1010
