"CREATEDBYID","CREATEDDATE","ID","ISACTIVE","ISARCHIVED","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","NAME","PRICEBOOK2ID","PRODUCT2ID","PRODUCTCODE","SYSTEMMODSTAMP","UNITPRICE","USESTANDARDPRICE","PRICEBOOK_SKU_AS_ID__C","SKU_AS_ID__C"
"0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","01u3k00000XuhPsAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","Life from an RNA World: The Ancestor Within [Paperback] [2011] Yarus, Michael","01s3k000002UJ8oAAG","01t3k000005qcmbAAA","0674060717","2019-10-28T03:04:02.000Z","11.19","false","01s3k000002UJ8oAAG_0674060717","0674060717"
"0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","01u3k00000XuhMmAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","Life from an RNA World: The Ancestor Within [Paperback] [2011] Yarus, Michael","01s3k000002Tcq5AAC","01t3k000005qcmbAAA","0674060717","2019-10-28T03:03:26.000Z","11.19","false","01s3k000002Tcq5AAC_0674060717","0674060717"
"0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","01u3k00000XuhPtAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","Fundamentals of Physics Extended, Binder Ready Version [Loose Leaf] [2013] Halliday, David; Resnick, Robert; Walker, Jearl","01s3k000002UJ8oAAG","01t3k000005qcmcAAA","1118230612","2019-10-28T03:04:02.000Z","112.01","false","01s3k000002UJ8oAAG_1118230612","1118230612"
"0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","01u3k00000XuhMnAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","Fundamentals of Physics Extended, Binder Ready Version [Loose Leaf] [2013] Halliday, David; Resnick, Robert; Walker, Jearl","01s3k000002Tcq5AAC","01t3k000005qcmcAAA","1118230612","2019-10-28T03:03:26.000Z","112.01","false","01s3k000002Tcq5AAC_1118230612","1118230612"
"0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","01u3k00000XuhPuAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","SLR Brands Men's Slide Athletic Adjustable Slip On Sandal Slipper Comfortable Shower Beach Pool Shoe Flip Flop (8 M, Black)","01s3k000002UJ8oAAG","01t3k000005qcmdAAA","13-PW7U-D87I","2019-10-28T03:04:02.000Z","14.99","false","01s3k000002UJ8oAAG_13-PW7U-D87I","13-PW7U-D87I"
"0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","01u3k00000XuhMoAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","SLR Brands Men's Slide Athletic Adjustable Slip On Sandal Slipper Comfortable Shower Beach Pool Shoe Flip Flop (8 M, Black)","01s3k000002Tcq5AAC","01t3k000005qcmdAAA","13-PW7U-D87I","2019-10-28T03:03:26.000Z","14.99","false","01s3k000002Tcq5AAC_13-PW7U-D87I","13-PW7U-D87I"
"0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","01u3k00000XuhPvAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","Fundamentals of Psycholinguistics [Paperback] [2010] Fernández, Eva M.; Cairns, Helen Smith","01s3k000002UJ8oAAG","01t3k000005qcmeAAA","1405191473","2019-10-28T03:04:02.000Z","17.34","false","01s3k000002UJ8oAAG_1405191473","1405191473"
"0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","01u3k00000XuhMpAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","Fundamentals of Psycholinguistics [Paperback] [2010] Fernández, Eva M.; Cairns, Helen Smith","01s3k000002Tcq5AAC","01t3k000005qcmeAAA","1405191473","2019-10-28T03:03:26.000Z","17.34","false","01s3k000002Tcq5AAC_1405191473","1405191473"
"0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","01u3k00000XuhPwAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:04:02.000Z","SLR Brands Football with Grip Technology Easy To Learn Football Perfect Football For Kids","01s3k000002UJ8oAAG","01t3k000005qcmfAAA","1I-B2VS-LIHQ","2019-10-28T03:04:02.000Z","9.99","false","01s3k000002UJ8oAAG_1I-B2VS-LIHQ","1I-B2VS-LIHQ"
"0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","01u3k00000XuhMqAAJ","false","false","false","0053k00000A4tazAAB","2019-10-28T03:03:26.000Z","SLR Brands Football with Grip Technology Easy To Learn Football Perfect Football For Kids","01s3k000002Tcq5AAC","01t3k000005qcmfAAA","1I-B2VS-LIHQ","2019-10-28T03:03:26.000Z","9.99","false","01s3k000002Tcq5AAC_1I-B2VS-LIHQ","1I-B2VS-LIHQ"
