"ADJUSTMENT__C","CREATEDBYID","CREATEDDATE","CUSTOMS_COUNTRY_CODE__C","CUSTOMS_DESCRIPTION__C","CUSTOMS_TARIFF_NO__C","CUSTOMS_VALUE__C","DATE_CREATED__C","DATE_MODIFIED__C","DEFAULT_CARRIER_CODE__C","DEFAULT_CONFIRMATION__C","DEFAULT_COST__C","DEFAULT_INTL_CARRIER_CODE__C","DEFAULT_INTL_CONFIRMATION__C","DEFAULT_INTL_PACKAGE_CODE__C","DEFAULT_INTL_SERVICE_CODE__C","DEFAULT_PACKAGE_CODE__C","DEFAULT_SERVICE_CODE__C","DESCRIPTION","DISPLAYURL","EXTERNALDATASOURCEID","EXTERNALID","FAMILY","FULFILLMENT_SKU__C","HEIGHT__C","ID","IMAGE_URL__C","INTERNAL_NOTES__C","ISACTIVE","ISARCHIVED","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","LENGTH__C","NAME","NO_CUSTOMS__C","PRODUCTCODE","PRODUCT_CATEGORY_ID__C","PRODUCT_CATEGORY_NAME__C","PRODUCT_ID__C","PRODUCT_TYPE__C","QUANTITYUNITOFMEASURE","QUANTITY__C","STOCKKEEPINGUNIT","SYSTEMMODSTAMP","UPC__C","WAREHOUSE_LOCATION__C","WEIGHT_UNITS__C","WEIGHT_VALUE__C","WEIGHT_OZ__C","WIDTH__C","SKU_AS_ID__C"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2019-07-17T13:58:16.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmbAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","Life from an RNA World: The Ancestor Within [Paperback] [2011] Yarus, Michael","","0674060717","","","4.6404652E7","","","","0674060717","2019-10-28T03:04:02.000Z","","","","","","","0674060717"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2018-09-26T14:07:01.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmcAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","Fundamentals of Physics Extended, Binder Ready Version [Loose Leaf] [2013] Halliday, David; Resnick, Robert; Walker, Jearl","","1118230612","","","3.2312156E7","","","","1118230612","2019-10-28T03:04:02.000Z","","","","","","","1118230612"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2019-10-03T18:23:21.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmdAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","SLR Brands Men's Slide Athletic Adjustable Slip On Sandal Slipper Comfortable Shower Beach Pool Shoe Flip Flop (8 M, Black)","","13-PW7U-D87I","","","4.9868055E7","","","","13-PW7U-D87I","2019-10-28T03:04:02.000Z","","","","","","","13-PW7U-D87I"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2019-02-06T18:30:42.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmeAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","Fundamentals of Psycholinguistics [Paperback] [2010] Fernández, Eva M.; Cairns, Helen Smith","","1405191473","","","3.9733308E7","","","","1405191473","2019-10-28T03:04:02.000Z","","","","","","","1405191473"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2018-09-12T07:39:10.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmfAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","SLR Brands Football with Grip Technology Easy To Learn Football Perfect Football For Kids","","1I-B2VS-LIHQ","","","3.1791191E7","","","","1I-B2VS-LIHQ","2019-10-28T03:04:02.000Z","","","","","","","1I-B2VS-LIHQ"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2019-02-11T16:57:48.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmgAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","SLR Brands Men's Slide Athletic Adjustable Slip On Sandal Slipper Comfortable Shower Beach Pool Shoe Flip Flop (9 M, Black)","","2U-RZQ3-VB48","","","3.9994906E7","","","","2U-RZQ3-VB48","2019-10-28T03:04:02.000Z","","","","","","","2U-RZQ3-VB48"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2019-05-05T09:48:08.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmhAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","SLR Brands Womans Colorblock Pocket Casual Tie Waist Yoga Jogger Pants (Large/XL, Black/White Elephant)","","2W-685L-2ISN","","","4.3236123E7","","","","2W-685L-2ISN","2019-10-28T03:04:02.000Z","","","","","","","2W-685L-2ISN"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2019-05-13T22:06:50.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmiAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Suport for Athletes | Multiple sizes and colors (1...","","4I-8E25-ES25","","","4.3759284E7","","","","4I-8E25-ES25","2019-10-28T03:04:02.000Z","","","","","","","4I-8E25-ES25"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2018-12-20T20:08:53.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmjAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","SLR Brands Men's Slide Athletic Adjustable Slip On Sandal Slipper Comfortable Shower Beach Pool Shoe Flip Flop (12 M, Grey)","","4P-CJWM-B7K2","","","3.7862473E7","","","","4P-CJWM-B7K2","2019-10-28T03:04:02.000Z","","","","","","","4P-CJWM-B7K2"
"false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","","2018-10-27T22:12:22.000Z","","","","","","","","","","","","","","","","","","01t3k000005qcmkAAA","","","true","false","false","0053k00000A4tazAAB","2019-10-28T02:59:26.000Z","","","","SLR Brands Womans Colorblock Pocket Casual Tie Waist Yoga Jogger Pants (Large/XL, Multicolor)","","4S-98D9-DHF0","","","3.4085629E7","","","","4S-98D9-DHF0","2019-10-28T03:04:02.000Z","","","","","","","4S-98D9-DHF0"
