"ID","FULFILLMENT SKU","IMAGE URL","NAME","SKU","UPC","WEIGHT UNITS","PRODUCT ID","QUANTITY","SHIPPING AMOUNT","TAX AMOUNT","UNIT PRICE","WEIGHT VALUE","MARKETPLACE","SHIPSTATION_ORDERNUMBER_AS_ID","ORDERNUMBER_SKU_AS_ID","STATUS"
"a003k00000Tps7gAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p3-90x180.jpg","Neutriherbs Charcoal Mask Black Head and Pore Remover","","","","","1","0","0","14.95","","WooCommerce","266","266-A-1000","Item Created"
"a003k00000Tps7hAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg","10 mL Empty Amber Bottle Set With Washers (4-Pack)","","","","","2","0","0","9.95","","WooCommerce","261","261-A-1001","Item Created"
"a003k00000Tps7iAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg","10 mL Empty Amber Bottle Set With Washers (4-Pack)","","","","","2","0","0","34.95","","WooCommerce","261","261-A-1002","Item Created"
"a003k00000Tps7jAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p1-180x180.jpg","Essential Oils Nebulizer Diffuser for Aromatherapy by Two Scents","","","","","2","0","0","70.27","","WooCommerce","261","261-A-1003","Item Created"
"a003k00000Tps7kAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p3-90x180.jpg","Neutriherbs Charcoal Mask Black Head and Pore Remover","","","","","1","0","0","14.95","","WooCommerce","261","261-A-1004","Item Created"
"a003k00000Tps7lAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg","10 mL Empty Amber Bottle Set With Washers (4-Pack)","","","","","4","0","0","19.95","","WooCommerce","256","256-A-1005","Item Created"
"a003k00000Tps7mAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg","10 mL Empty Amber Bottle Set With Washers (4-Pack)","","","","","1","0","0","9.95","","WooCommerce","256","256-A-1006","Item Created"
"a003k00000Tps7nAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p1-180x180.jpg","Essential Oils Nebulizer Diffuser for Aromatherapy by Two Scents","","","","","1","0","0","70.27","","WooCommerce","256","256-A-1007","Item Created"
"a003k00000Tps7oAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p3-90x180.jpg","Neutriherbs Charcoal Mask Black Head and Pore Remover","","","","","1","0","0","14.95","","WooCommerce","256","256-A-1008","Item Created"
"a003k00000Tps7pAAB","","","Total Discount","total-discount","","","","1","0","0","-17.5","","WooCommerce","256","256-total-discount","Item Created"
"a003k00000Tps7qAAB","","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p2-180x180.jpg","10 mL Empty Amber Bottle Set With Washers (4-Pack)","","","","","1","0","0","9.95","","WooCommerce","255","255-A-1010","Item Created"
"a003k00000Tps7rAAB","","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","7.53","0","75.27","","Amazon","114-0246989-0152247","114-0246989-0152247-B071HR46ZJ","Item Created"
