"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"UseStandardPrice";"sku_as_id__c"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjMAAU";"11.19";"False";"0674060717"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjNAAU";"112.01";"False";"1118230612"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjOAAU";"14.99";"False";"13-PW7U-D87I"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjPAAU";"17.34";"False";"1405191473"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjQAAU";"9.99";"False";"1I-B2VS-LIHQ"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjRAAU";"10.99";"False";"2U-RZQ3-VB48"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjSAAU";"17.99";"False";"2W-685L-2ISN"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjTAAU";"12.99";"False";"4I-8E25-ES25"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjUAAU";"6.99";"False";"4P-CJWM-B7K2"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjVAAU";"12.99";"False";"4S-98D9-DHF0"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjWAAU";"14.99";"False";"50-O2II-OM36"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjXAAU";"7.99";"False";"57-4R3X-A2VX"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjYAAU";"14.99";"False";"62-F926-QNEI"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjZAAU";"29.99";"False";"64-1FRN-5FAZ"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjaAAE";"14.99";"False";"6D-LO15-SWG2"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjbAAE";"69.99";"False";"6Z-I22J-SHQS"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjcAAE";"70";"False";"717625570"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjdAAE";"40";"False";"717635182"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjeAAE";"70";"False";"731185291"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjfAAE";"30";"False";"731498733"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjgAAE";"10.99";"False";"7I-4Q6M-ICCS"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjhAAE";"9.99";"False";"7Z-GFD1-0JRG"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjiAAE";"12.99";"False";"852888008056"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjjAAE";"9.99";"False";"89-3OU5-C6HB"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjkAAE";"11.99";"False";"8A-L5P6-VKMU"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjlAAE";"12.99";"False";"8G-IPV9-JW0W"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjmAAE";"12.99";"False";"8I-W2IE-AVV5"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjnAAE";"14.99";"False";"92-BLYZ-Q9MA"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjoAAE";"14.99";"False";"A0-G9AN-6PSD"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjpAAE";"19.99";"False";"A1-D1OQ-4W14"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjqAAE";"9.99";"False";"A6-I05X-ZPAD"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjrAAE";"11.99";"False";"A9-IP6C-PKPQ"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjsAAE";"5.99";"False";"AP-1CS3-TJW5"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjtAAE";"85";"False";"B00MWQCNSW"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjuAAE";"90";"False";"B00RBP97D8"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjvAAE";"8.5";"False";"B06Y5JDGDHfbc"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjwAAE";"8.5";"False";"B06Y5JFT4Bfbc"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjxAAE";"8.5";"False";"B06Y5QVQ28"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjyAAE";"8.5";"False";"B06Y5RF1MCfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQjzAAE";"8.5";"False";"B06Y5S8M9Kfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk0AAE";"8.5";"False";"B06Y5SHQQ3fba"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk1AAE";"8.99";"False";"B06Y5SQ1PFfba"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk2AAE";"10.14";"False";"B06Y5SQ1PGfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk3AAE";"8.99";"False";"B06Y5THB4Ffbc"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk4AAE";"8.99";"False";"B06Y5THB4Ffbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk5AAE";"8.99";"False";"B06Y5TTZ6Pfbc"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk6AAE";"8.5";"False";"B06Y5V3TNXfbac"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk7AAE";"8.5";"False";"B06Y5V7LTHfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk8AAE";"8.5";"False";"B06Y5VJ3VHfbac"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQk9AAE";"8.5";"False";"B06Y5WT6QSfbc"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkAAAU";"8.5";"False";"B06Y5ZXRWCfba"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkBAAU";"7.5";"False";"B0711SPBZ4"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkCAAU";"75.27";"False";"B071HR46ZJ"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkDAAU";"47.99";"False";"B0756B6MJM"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkEAAU";"15.99";"False";"B076PJ1KHS"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkFAAU";"15.15";"False";"B076PNV184fba"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkGAAU";"15.99";"False";"B076PPC76Sfmb"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkHAAU";"15.15";"False";"B076PQDF7Pfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkIAAU";"15.15";"False";"B076PQKDDJfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkJAAU";"12.15";"False";"B076PQKTX1fbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkKAAU";"15.15";"False";"B076PQV4FSfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkLAAU";"15.15";"False";"B076PQW9L9fmn"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkMAAU";"15.99";"False";"B076PRB5ZR"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkNAAU";"15.15";"False";"B076PRJMR4fbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkOAAU";"15.15";"False";"B076PRWY1Pfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkPAAU";"15.15";"False";"B076PRYSNHfbm"
"Attempting to update (as part of an upsert) parent field Pricebook2Id with new value 01s3k000002UJ8oAAG, current value is 01s3k000002Tcq5AAC";"01s3k000002UJ8oAAG";"01t3k000005qQkQAAU";"19.99";"False";"B076PRZLD5fbm"
