"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"sku_as_id__c"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoDQAQ";"11.19";"0674060717"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoEQAQ";"112.01";"1118230612"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoFQAQ";"17.34";"1405191473"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoGQAQ";"9.99";"1I-B2VS-LIHQ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoHQAQ";"10.99";"2U-RZQ3-VB48"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoIQAQ";"17.99";"2W-685L-2ISN"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoJQAQ";"12.99";"4I-8E25-ES25"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoKQAQ";"6.99";"4P-CJWM-B7K2"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoLQAQ";"12.99";"4S-98D9-DHF0"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoMQAQ";"14.99";"50-O2II-OM36"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoNQAQ";"7.99";"57-4R3X-A2VX"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoOQAQ";"14.99";"62-F926-QNEI"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoPQAQ";"29.99";"64-1FRN-5FAZ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoQQAQ";"14.99";"6D-LO15-SWG2"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoRQAQ";"69.99";"6Z-I22J-SHQS"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoSQAQ";"40";"717635182"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoTQAQ";"70";"731185291"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoUQAQ";"30";"731498733"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoVQAQ";"10.99";"7I-4Q6M-ICCS"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoWQAQ";"9.99";"7Z-GFD1-0JRG"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoXQAQ";"12.99";"852888008056"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoYQAQ";"9.99";"89-3OU5-C6HB"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoZQAQ";"11.99";"8A-L5P6-VKMU"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoaQAA";"12.99";"8G-IPV9-JW0W"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymobQAA";"12.99";"8I-W2IE-AVV5"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymocQAA";"14.99";"92-BLYZ-Q9MA"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymodQAA";"14.99";"A0-G9AN-6PSD"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoeQAA";"19.99";"A1-D1OQ-4W14"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymofQAA";"9.99";"A6-I05X-ZPAD"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymogQAA";"11.99";"A9-IP6C-PKPQ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymohQAA";"5.99";"AP-1CS3-TJW5"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoiQAA";"85";"B00MWQCNSW"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymojQAA";"90";"B00RBP97D8"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymokQAA";"8.5";"B06Y5JDGDHfbc"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymolQAA";"8.5";"B06Y5JFT4Bfbc"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymomQAA";"8.5";"B06Y5QVQ28"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymonQAA";"8.5";"B06Y5RF1MCfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymooQAA";"8.5";"B06Y5S8M9Kfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymopQAA";"8.5";"B06Y5SHQQ3fba"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoqQAA";"8.99";"B06Y5SQ1PFfba"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymorQAA";"10.14";"B06Y5SQ1PGfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymosQAA";"8.99";"B06Y5THB4Ffbc"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymotQAA";"8.99";"B06Y5THB4Ffbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymouQAA";"8.99";"B06Y5TTZ6Pfbc"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymovQAA";"8.5";"B06Y5V3TNXfbac"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymowQAA";"8.5";"B06Y5V7LTHfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoxQAA";"8.5";"B06Y5VJ3VHfbac"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymoyQAA";"8.5";"B06Y5WT6QSfbc"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymozQAA";"8.5";"B06Y5ZXRWCfba"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp0QAA";"7.5";"B0711SPBZ4"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp1QAA";"75.27";"B071HR46ZJ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp2QAA";"47.99";"B0756B6MJM"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp3QAA";"15.99";"B076PJ1KHS"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp4QAA";"15.15";"B076PNV184fba"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp5QAA";"15.99";"B076PPC76Sfmb"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp6QAA";"15.15";"B076PQDF7Pfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp7QAA";"15.15";"B076PQKDDJfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp8QAA";"12.15";"B076PQKTX1fbm"
