"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"UseStandardPrice";"sku_as_id__c"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYQQAY";"11.19";"False";"0674060717"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYRQAY";"112.01";"False";"1118230612"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"False";"13-PW7U-D87I"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYSQAY";"17.34";"False";"1405191473"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYTQAY";"9.99";"False";"1I-B2VS-LIHQ"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYUQAY";"10.99";"False";"2U-RZQ3-VB48"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYVQAY";"17.99";"False";"2W-685L-2ISN"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYWQAY";"12.99";"False";"4I-8E25-ES25"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYXQAY";"6.99";"False";"4P-CJWM-B7K2"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYYQAY";"12.99";"False";"4S-98D9-DHF0"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYZQAY";"14.99";"False";"50-O2II-OM36"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYaQAI";"7.99";"False";"57-4R3X-A2VX"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYbQAI";"14.99";"False";"62-F926-QNEI"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYcQAI";"29.99";"False";"64-1FRN-5FAZ"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYdQAI";"14.99";"False";"6D-LO15-SWG2"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYeQAI";"69.99";"False";"6Z-I22J-SHQS"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"70";"False";"717625570"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYfQAI";"40";"False";"717635182"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYgQAI";"70";"False";"731185291"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYhQAI";"30";"False";"731498733"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYiQAI";"10.99";"False";"7I-4Q6M-ICCS"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYjQAI";"9.99";"False";"7Z-GFD1-0JRG"
"No standard price defined for this product";"01s4T000001qIGbQAM";"01t4T000000ypYkQAI";"12.99";"False";"852888008056"
