"ErrorDescription";"Product2Id";"OrderId";"PricebookEntryId";"Quantity";"UnitPrice";"lineItemKey__c"
"No record found in object 'Orders' for lookup by column 'Items' = '1'.";"";"";"";"1";"9.95";"1"
"No record found in object 'Orders' for lookup by column 'Items' = '2'.";"";"";"";"4";"19.95";"2"
"No record found in object 'Orders' for lookup by column 'Items' = '3'.";"";"";"";"1";"9.95";"3"
"No record found in object 'Orders' for lookup by column 'Items' = '4'.";"";"";"";"1";"70.27";"4"
"No record found in object 'Orders' for lookup by column 'Items' = '5'.";"";"";"";"1";"14.95";"5"
"No record found in object 'Orders' for lookup by column 'Items' = NULL.";"";"";"";"1";"-17.5";""
"No record found in object 'Orders' for lookup by column 'Items' = '9'.";"";"";"";"2";"9.95";"9"
"No record found in object 'Orders' for lookup by column 'Items' = '10'.";"";"";"";"2";"34.95";"10"
"No record found in object 'Orders' for lookup by column 'Items' = '7'.";"";"";"";"2";"70.27";"7"
"No record found in object 'Orders' for lookup by column 'Items' = '8'.";"";"";"";"1";"14.95";"8"
"No record found in object 'Orders' for lookup by column 'Items' = '11'.";"";"";"";"1";"14.95";"11"
"No record found in object 'Orders' for lookup by column 'Items' = '65485750620738'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"65485750620738"
"No record found in object 'Orders' for lookup by column 'Items' = '26139265750114'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"26139265750114"
"No record found in object 'Orders' for lookup by column 'Items' = '47583309459890'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"47583309459890"
"No record found in object 'Orders' for lookup by column 'Items' = '51978114512906'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"51978114512906"
"No record found in object 'Orders' for lookup by column 'Items' = '22258993597066'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"22258993597066"
"No record found in object 'Orders' for lookup by column 'Items' = '44484222908738'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"44484222908738"
"No record found in object 'Orders' for lookup by column 'Items' = '17175111856450'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"17175111856450"
"No record found in object 'Orders' for lookup by column 'Items' = '52265710113018'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"52265710113018"
"No record found in object 'Orders' for lookup by column 'Items' = '57640163472322'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"57640163472322"
"No record found in object 'Orders' for lookup by column 'Items' = '40907379830346'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"40907379830346"
"No record found in object 'Orders' for lookup by column 'Items' = '48218637474818'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"48218637474818"
"No record found in object 'Orders' for lookup by column 'Items' = '08084575196890'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"08084575196890"
"No record found in object 'Orders' for lookup by column 'Items' = '12'.";"";"";"";"2";"70.27";"12"
"No record found in object 'Orders' for lookup by column 'Items' = NULL.";"";"";"";"1";"-21.08";""
"No record found in object 'Orders' for lookup by column 'Items' = '14'.";"";"";"";"1";"70.27";"14"
"No record found in object 'Orders' for lookup by column 'Items' = NULL.";"";"";"";"1";"-10.54";""
"No record found in object 'Orders' for lookup by column 'Items' = '37660253866770'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"37660253866770"
"No record found in object 'Orders' for lookup by column 'Items' = '45280292592986'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"45280292592986"
"No record found in object 'Orders' for lookup by column 'Items' = '65331299269938'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"65331299269938"
"No record found in object 'Orders' for lookup by column 'Items' = '44440419166578'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"44440419166578"
"No record found in object 'Orders' for lookup by column 'Items' = '42578320161138'.";"01t4T000000ypZEQAY";"";"";"1";"75.27";"42578320161138"
"No record found in object 'Orders' for lookup by column 'Items' = '18'.";"";"";"";"1";"9.95";"18"
"No record found in object 'Orders' for lookup by column 'Items' = '17'.";"";"";"";"1";"9.95";"17"
"No record found in object 'Orders' for lookup by column 'Items' = '16'.";"";"";"";"1";"9.95";"16"
"No record found in object 'Orders' for lookup by column 'Items' = '19'.";"";"";"";"1";"9.95";"19"
"No record found in object 'Orders' for lookup by column 'Items' = '20'.";"";"";"";"1";"7.95";"20"
"No record found in object 'Orders' for lookup by column 'Items' = '21'.";"";"";"";"1";"7.95";"21"
"No record found in object 'Orders' for lookup by column 'Items' = '23'.";"";"";"";"1";"7.95";"23"
"No record found in object 'Orders' for lookup by column 'Items' = '24'.";"";"";"";"2";"7.95";"24"
"No record found in object 'Orders' for lookup by column 'Items' = '26'.";"";"";"";"1";"9.95";"26"
"No record found in object 'Orders' for lookup by column 'Items' = '27'.";"";"";"";"3";"9.95";"27"
"No record found in object 'Orders' for lookup by column 'Items' = '28'.";"";"";"";"2";"9.95";"28"
"No record found in object 'Orders' for lookup by column 'Items' = '29'.";"";"";"";"1";"9.95";"29"
"No record found in object 'Orders' for lookup by column 'Items' = '30'.";"";"";"";"1";"7.95";"30"
"No record found in object 'Orders' for lookup by column 'Items' = '31'.";"";"";"";"1";"9.95";"31"
"No record found in object 'Orders' for lookup by column 'Items' = '03099118143866'.";"01t4T000000ypZRQAY";"";"";"1";"15.15";"03099118143866"
"No record found in object 'Orders' for lookup by column 'Items' = '25415850305762'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"25415850305762"
"No record found in object 'Orders' for lookup by column 'Items' = '06122680677946'.";"01t4T000000ypaVQAQ";"";"";"1";"7.99";"06122680677946"
"No record found in object 'Orders' for lookup by column 'Items' = '38416285506802'.";"01t4T000000ypb5QAA";"";"";"1";"14.99";"38416285506802"
"No record found in object 'Orders' for lookup by column 'Items' = NULL.";"";"";"";"1";"0";""
"No record found in object 'Orders' for lookup by column 'Items' = '30519580652570'.";"01t4T000000ypaWQAQ";"";"";"1";"7.99";"30519580652570"
"No record found in object 'Orders' for lookup by column 'Items' = '31080568154266'.";"01t4T000000ypZQQAY";"";"";"1";"15.15";"31080568154266"
"No record found in object 'Orders' for lookup by column 'Items' = '48441250232626'.";"01t4T000000ypYyQAI";"";"";"1";"8.5";"48441250232626"
"No record found in object 'Orders' for lookup by column 'Items' = '24699337703426'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"24699337703426"
"No record found in object 'Orders' for lookup by column 'Items' = '50551177103834'.";"01t4T000000ypZaQAI";"";"";"1";"15.15";"50551177103834"
"No record found in object 'Orders' for lookup by column 'Items' = '11006506566690'.";"01t4T000000ypZRQAY";"";"";"1";"15.15";"11006506566690"
"No record found in object 'Orders' for lookup by column 'Items' = '46894210401930'.";"01t4T000000ypZQQAY";"";"";"1";"15.15";"46894210401930"
"No record found in object 'Orders' for lookup by column 'Items' = '44635336741194'.";"01t4T000000ypYaQAI";"";"";"1";"7.99";"44635336741194"
"No record found in object 'Orders' for lookup by column 'Items' = '57873195597682'.";"01t4T000000ypZHQAY";"";"";"1";"15.15";"57873195597682"
"No record found in object 'Orders' for lookup by column 'Items' = '61512328385098'.";"01t4T000000ypZcQAI";"";"";"1";"15.15";"61512328385098"
"No record found in object 'Orders' for lookup by column 'Items' = '63320295991858'.";"01t4T000000ypZCQAY";"";"";"1";"8.5";"63320295991858"
"No record found in object 'Orders' for lookup by column 'Items' = '01636793977962'.";"01t4T000000ypZHQAY";"";"";"1";"15.15";"01636793977962"
"No record found in object 'Orders' for lookup by column 'Items' = '17913535326098'.";"01t4T000000ypYyQAI";"";"";"1";"8.5";"17913535326098"
"No record found in object 'Orders' for lookup by column 'Items' = '52362038011466'.";"01t4T000000ypaTQAQ";"";"";"1";"12.99";"52362038011466"
"No record found in object 'Orders' for lookup by column 'Items' = '31723744998114'.";"01t4T000000ypZ5QAI";"";"";"1";"8.99";"31723744998114"
"No record found in object 'Orders' for lookup by column 'Items' = '44011879881266'.";"01t4T000000ypZ9QAI";"";"";"1";"8.5";"44011879881266"
"No record found in object 'Orders' for lookup by column 'Items' = '25505926475730'.";"01t4T000000ypZ3QAI";"";"";"1";"8.99";"25505926475730"
"No record found in object 'Orders' for lookup by column 'Items' = '11916252020418'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"11916252020418"
"No record found in object 'Orders' for lookup by column 'Items' = '19635674182250'.";"01t4T000000ypZCQAY";"";"";"1";"8.5";"19635674182250"
"No record found in object 'Orders' for lookup by column 'Items' = '51112582851826'.";"01t4T000000ypZBQAY";"";"";"1";"8.5";"51112582851826"
"No record found in object 'Orders' for lookup by column 'Items' = '62928787077578'.";"01t4T000000ypZ4QAI";"";"";"1";"10.14";"62928787077578"
"No record found in object 'Orders' for lookup by column 'Items' = '60543011558122'.";"01t4T000000ypZMQAY";"";"";"1";"15.15";"60543011558122"
"No record found in object 'Orders' for lookup by column 'Items' = '13148387777658'.";"01t4T000000ypaeQAA";"";"";"1";"14.99";"13148387777658"
"No record found in object 'Orders' for lookup by column 'Items' = '33396952175834'.";"01t4T000000ypZ4QAI";"";"";"1";"10.14";"33396952175834"
"No record found in object 'Orders' for lookup by column 'Items' = '16545854635514'.";"01t4T000000ypZRQAY";"";"";"1";"15.15";"16545854635514"
"No record found in object 'Orders' for lookup by column 'Items' = '48727128438850'.";"01t4T000000ypZeQAI";"";"";"1";"15.15";"48727128438850"
"No record found in object 'Orders' for lookup by column 'Items' = '69942985571970'.";"01t4T000000ypZ3QAI";"";"";"1";"8.99";"69942985571970"
"No record found in object 'Orders' for lookup by column 'Items' = '50864767672698'.";"01t4T000000ypZ4QAI";"";"";"1";"10.14";"50864767672698"
"No record found in object 'Orders' for lookup by column 'Items' = '39635818053394'.";"01t4T000000ypZRQAY";"";"";"1";"15.15";"39635818053394"
"No record found in object 'Orders' for lookup by column 'Items' = '05846258989434'.";"01t4T000000ypZeQAI";"";"";"1";"15.15";"05846258989434"
"No record found in object 'Orders' for lookup by column 'Items' = '01814534483354'.";"01t4T000000ypZdQAI";"";"";"1";"15.15";"01814534483354"
"No record found in object 'Orders' for lookup by column 'Items' = '05427761273394'.";"01t4T000000ypYTQAY";"";"";"1";"9.99";"05427761273394"
"No record found in object 'Orders' for lookup by column 'Items' = '33540757920794'.";"01t4T000000ypZPQAY";"";"";"1";"15.15";"33540757920794"
"No record found in object 'Orders' for lookup by column 'Items' = '33003917926634'.";"01t4T000000ypYZQAY";"";"";"1";"14.99";"33003917926634"
"No record found in object 'Orders' for lookup by column 'Items' = '68823189516714'.";"01t4T000000ypb5QAA";"";"";"1";"14.99";"68823189516714"
"No record found in object 'Orders' for lookup by column 'Items' = '07418760774602'.";"01t4T000000ypb8QAA";"";"";"1";"14.99";"07418760774602"
"No record found in object 'Orders' for lookup by column 'Items' = '41899799019874'.";"01t4T000000ypYbQAI";"";"";"1";"14.99";"41899799019874"
"No record found in object 'Orders' for lookup by column 'Items' = '10955476780826'.";"01t4T000000ypb9QAA";"";"";"1";"14.99";"10955476780826"
"No record found in object 'Orders' for lookup by column 'Items' = '57902680255122'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"57902680255122"
"No record found in object 'Orders' for lookup by column 'Items' = '222893953287'.";"";"";"";"1";"72.95";"222893953287"
"No record found in object 'Orders' for lookup by column 'Items' = '11709516009266'.";"01t4T000000ypZ5QAI";"";"";"1";"8.99";"11709516009266"
"No record found in object 'Orders' for lookup by column 'Items' = '50165117994570'.";"01t4T000000ypYsQAI";"";"";"1";"9.99";"50165117994570"
"No record found in object 'Orders' for lookup by column 'Items' = '63294368286922'.";"01t4T000000ypbCQAQ";"";"";"1";"14.99";"63294368286922"
"No record found in object 'Orders' for lookup by column 'Items' = '46969678194674'.";"01t4T000000ypYjQAI";"";"";"1";"9.99";"46969678194674"
"No record found in object 'Orders' for lookup by column 'Items' = '25748907607578'.";"01t4T000000ypZRQAY";"";"";"1";"15.15";"25748907607578"
"No record found in object 'Orders' for lookup by column 'Items' = '68549290615258'.";"01t4T000000ypaUQAQ";"";"";"1";"7.99";"68549290615258"
"No record found in object 'Orders' for lookup by column 'Items' = '03368520802594'.";"01t4T000000ypZcQAI";"";"";"1";"15.15";"03368520802594"
"No record found in object 'Orders' for lookup by column 'Items' = '35913654762802'.";"01t4T000000ypZ9QAI";"";"";"2";"8.5";"35913654762802"
"No record found in object 'Orders' for lookup by column 'Items' = '00021396030122'.";"01t4T000000ypYyQAI";"";"";"1";"8.5";"00021396030122"
"No record found in object 'Orders' for lookup by column 'Items' = '29106731837394'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"29106731837394"
"No record found in object 'Orders' for lookup by column 'Items' = '19931539872594'.";"01t4T000000ypZ6QAI";"";"";"1";"8.99";"19931539872594"
"No record found in object 'Orders' for lookup by column 'Items' = '02856043364210'.";"01t4T000000ypZRQAY";"";"";"1";"15.15";"02856043364210"
"No record found in object 'Orders' for lookup by column 'Items' = '47163637455994'.";"01t4T000000ypYxQAI";"";"";"1";"8.5";"47163637455994"
"No record found in object 'Orders' for lookup by column 'Items' = '49927063744914'.";"01t4T000000ypZ3QAI";"";"";"1";"8.99";"49927063744914"
"No record found in object 'Orders' for lookup by column 'Items' = '38835044074738'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"38835044074738"
"No record found in object 'Orders' for lookup by column 'Items' = '18587971947514'.";"01t4T000000ypZRQAY";"";"";"1";"15.15";"18587971947514"
"No record found in object 'Orders' for lookup by column 'Items' = '31452563992146'.";"01t4T000000ypbBQAQ";"";"";"1";"14.99";"31452563992146"
"No record found in object 'Orders' for lookup by column 'Items' = '38458561778178'.";"01t4T000000ypZdQAI";"";"";"1";"15.15";"38458561778178"
"No record found in object 'Orders' for lookup by column 'Items' = '53410404401482'.";"01t4T000000ypZ4QAI";"";"";"1";"10.14";"53410404401482"
"No record found in object 'Orders' for lookup by column 'Items' = '07023194691626'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"07023194691626"
"No record found in object 'Orders' for lookup by column 'Items' = '12777320493722'.";"01t4T000000ypZ7QAI";"";"";"1";"8.99";"12777320493722"
"No record found in object 'Orders' for lookup by column 'Items' = '21849245769858'.";"01t4T000000ypZ2QAI";"";"";"1";"8.5";"21849245769858"
"No record found in object 'Orders' for lookup by column 'Items' = '55775964931642'.";"01t4T000000ypYzQAI";"";"";"1";"8.5";"55775964931642"
"No record found in object 'Orders' for lookup by column 'Items' = '41854400988986'.";"01t4T000000ypYpQAI";"";"";"1";"14.99";"41854400988986"
"No record found in object 'Orders' for lookup by column 'Items' = '12149060340474'.";"01t4T000000ypapQAA";"";"";"1";"12.99";"12149060340474"
"No record found in object 'Orders' for lookup by column 'Items' = '45240381745674'.";"01t4T000000ypZeQAI";"";"";"1";"15.15";"45240381745674"
